100PCHEADSHOT	0x83756115
10THBR	0x21B1848E
11THBR	0x24C8D9E5
12THBR	0x19E98C0C
1STBR	0xCA99824B
2HOT2HANDLE	0xA949B5B8
2NDBR	0x967F991D
3M2AWAY	0xBCE429D0
3M2GETTING	0x3C661877
3M2KILLED	0x561372E6
3M2KILLHIM	0x343A50B9
3M2SPOOKED	0xFDDA5260
3M2TIME	0x99C42112
3M2TRASH	0x1F100642
3M2WANTED	0xF7379107
3M2WARNING	0xB8C3273F
3M3INTRO	0xA6E6A43B
3M4HEAD	0xFB82C675
3M4RETURN	0xCD6F7D5F
3M4WARNING	0x70ECE254
3RDBR	0x46299390
3RDROUND	0xB3610313
4BULLETSYF1	0xE99B1068
4THBR	0x3577DCA8
5THBR	0xCE5E117A
6CIA5_HELP1	0xD788E70F
6CIA5_HELP10	0xECA0581E
6CIA5_HELP11	0x6AF254C0
6CIA5_HELP12	0x5C44B765
6CIA5_HELP2	0x69E70BC9
6CIA5_HELP3	0xB15A1AB2
6THBR	0x1D330B7C
7THBR	0x9324C866
8THBR	0xE228DF72
9THBR	0xC045C12B
A1_C01	0xC152E6B9
A1_F01	0xC1F1E5D0
A1_P01	0xF1A5FE1E
A1_P02	0x14CF4470
A1_P03	0xC2EC20AB
A1_P04	0xF8B28C37
A1_P05	0x27576980
A1_P06	0x6D34F53A
A1_P07	0x5BC85261
A1_P08	0x6640E74E
A1_P09	0x547243B1
A2_CAR_CD	0x21537F73
A2_DRV_DEN	0x6A1F78B0
A2_DR_MALC	0x50AA24EC
A2_DR_WARE	0x77D5CA7D
A2_GTINCAR	0x255ABA9D
A2_MALCFLEE	0x4FBC9AF8
A2_MALC_BD	0x86227721
A2_MALC_BI	0x3CF164C0
A2_MALC_CD	0x4ACC01A5
A2_MALC_CI	0x252C3666
A2_MALC_DD	0x295C4026
A2_PU_MALC	0x43F24207
A2_ROMDEN	0x5ACCF947
A2_ROMDEN2	0xBE5ACDD9
A2_ROM_2CR	0x87D933D1
A2_ROM_DD	0x4410CEC6
A2_ROM_ES2	0xD5CC9585
A2_ROM_ES3	0xE3A63138
A2_ROM_ES4	0xF4C7D37B
A2_ROM_ESC	0x986A9AC6
A2_ROM_SPK	0x55C90032
A2_ROM_TXI	0x766D08E6
A2_ROM_TXI2	0xC6D91E00
A2_ROM_TXI3	0xD51FBA8D
A2_ROM_WT1	0xA1D89329
A2_ROM_WT2	0x97AD7ECF
A2_WNTD_LS	0x74755B33
AARBLEY	0xCEDD7043
AARONG	0x8623E223
ABADONED	0xAD07EF36
ABANDON	0xB03B8C15
ABDULAMIR	0x62808616
ABIGRAY	0xECB7A358
ABRAHAMA	0x246F40B9
ABRAHAMAHM	0xAE9D5071
ACBOMB	0x26D2CD50
ACBOMB_PC	0x2BFB1EC6
ACCAB	0x5AB72791
ACCAB_PC	0xEC96D378
ACCEL	0x7ED36B66
ACCEPT_INVITE	0x0C41053A
ACCOUNTS	0x80D72AAE
ACCUR	0x182F9DBF
ACFOOD	0xBD10F770
ACFOOD_PC	0x9485E3FD
ACGUN	0x33E4BFA6
ACGUN_PC	0x872B1ED1
ACHBLOCKED1A	0x4264AF9F
ACHBLOCKED1AS	0xC95735CA
ACHBLOCKED1B	0x30160B02
ACHBLOCKED1BS	0x117DC76E
ACHBLOCKED1C	0xB01A8B0D
ACHBLOCKED1CS	0xC37EA355
ACHBLOCKED1D	0xDDF0E6B9
ACHBLOCKED1DS	0xD3474D46
ACHBLOCKED1E	0xCB7F41D6
ACHBLOCKED1ES	0x657E7296
ACHBLOCKED1F	0x894DBD70
ACHBLOCKED1FS	0xA442F176
ACHBLOCKED1G	0xE8787C6C
ACHBLOCKED1GS	0x59FD2589
ACHBLOCKED2	0x60C18931
ACHBLOCKED2S	0xB8D90BFA
ACOMPUTER	0x04FCAAF5
ACSTRIP	0x26EB0ED3
ACSTRIP_PC	0x915BE1E8
ACTBY	0xAC2A2B50
ACTGREGJOHN	0x0DA3E5C0
ACTIP	0xB0E84A20
ACTNICKMONT	0xE495B2AF
ACTN_1	0x8D30F4FA
ACTN_10	0x3483A25F
ACTN_100	0x34458494
ACTN_101	0x46B7A978
ACTN_102	0x18CCCDA3
ACTN_11	0x4AC9CEEB
ACTN_112	0x1457C5D9
ACTN_115	0xDC75D616
ACTN_12	0x9F59F80A
ACTN_121	0xDD5A66AB
ACTN_123	0x56FAD97E
ACTN_125	0x416EAE66
ACTN_126	0x9022CBD1
ACTN_13	0x2722079C
ACTN_14	0x7BFD3151
ACTN_141	0xCA7E3E57
ACTN_144	0x00292978
ACTN_145	0xF14F8BC5
ACTN_146	0x5B85602F
ACTN_147	0x4EFEC722
ACTN_148	0x3CB82295
ACTN_149	0x3A7B1E1B
ACTN_15	0x91BF5CD5
ACTN_150	0x5C08E27A
ACTN_151	0x471AB89E
ACTN_153	0xA3A4F1B5
ACTN_156	0xD15D4D25
ACTN_157	0xE087EB7A
ACTN_16	0xCA814E58
ACTN_160	0xCBE13ECD
ACTN_161	0x759A9241
ACTN_162	0xE865F7D6
ACTN_164	0x86123330
ACTN_17	0x6E4995EA
ACTN_174	0x48A8B956
ACTN_176	0xA33B6E7E
ACTN_178	0x815C2AC0
ACTN_179	0x6FAB075E
ACTN_18	0xA7168783
ACTN_181	0x25508122
ACTN_183	0x49624945
ACTN_184	0x3B38ACF2
ACTN_19	0xB4DC230E
ACTN_197	0x57E955BF
ACTN_199	0xFABD1B68
ACTN_2	0xBF435926
ACTN_20	0xEE1F16D7
ACTN_200	0xFD10F35E
ACTN_201	0x8B639005
ACTN_203	0x89030B54
ACTN_205	0xC1AF7CAC
ACTN_207	0xD04A99E2
ACTN_208	0xD65FA60C
ACTN_209	0xE54D43E7
ACTN_21	0x09A94DEB
ACTN_210	0x1D1FB273
ACTN_211	0x0BB48F9D
ACTN_219	0xD92C2A81
ACTN_22	0x52345EF0
ACTN_220	0x3639E78F
ACTN_221	0x042E0378
ACTN_222	0x82A98071
ACTN_223	0xA085BC29
ACTN_227	0xBA2AEF6F
ACTN_229	0x974DA9B5
ACTN_23	0xFAEEB076
ACTN_230	0xBA14EE37
ACTN_231	0x88520AB2
ACTN_232	0x068E072C
ACTN_233	0x14C8A3A1
ACTN_234	0x63EBC1E6
ACTN_235	0x512A9C64
ACTN_236	0x2F9FD94B
ACTN_237	0x3E15F637
ACTN_24	0x26B087E9
ACTN_25	0x5FF8FA79
ACTN_26	0x885FCB46
ACTN_27	0x3AACAFE1
ACTN_28	0x7CEA345B
ACTN_29	0x96E06847
ACTN_3	0x71223CDD
ACTN_30	0xB1D09F53
ACTN_31	0xDB92F2D7
ACTN_32	0x1236E01E
ACTN_33	0xBFED3B8C
ACTN_34	0xF71829E1
ACTN_35	0xE8DD8D6C
ACTN_36	0x5B447248
ACTN_37	0x4D82D6C5
ACTN_38	0x401FBBFF
ACTN_39	0x31511E62
ACTN_4	0x3498C3BB
ACTN_40	0xD434522E
ACTN_41	0xC689B6D9
ACTN_42	0x5E9966FA
ACTN_43	0x4FEC49A0
ACTN_44	0x192B5C1B
ACTN_45	0xEB7300AB
ACTN_46	0x3C1B2216
ACTN_47	0x6A4D7E7A
ACTN_48	0xF9111BFF
ACTN_49	0x055A3491
ACTN_5	0xE640A70C
ACTN_50	0xE4C4746E
ACTN_51	0xB78219EA
ACTN_52	0x538A51FC
ACTN_53	0x6544F571
ACTN_54	0x1DF9E6D8
ACTN_55	0xEFBB8A5C
ACTN_56	0x8C4DC382
ACTN_57	0x9E1C671F
ACTN_58	0x36D1988B
ACTN_59	0x48A73C36
ACTN_6	0x182B0AE0
ACTN_60	0x8A62AF04
ACTN_61	0x79100C5F
ACTN_62	0x6C0EF249
ACTN_63	0x5BE551F6
ACTN_64	0x10CEBBC2
ACTN_65	0x02BE1FA1
ACTN_66	0xA34660B7
ACTN_67	0x9516C458
ACTN_68	0x47B8299C
ACTN_69	0x39858D37
ACTN_7	0x49ECEE63
ACTN_70	0x858CA678
ACTN_71	0x73BB02D5
ACTN_72	0xF2A880AE
ACTN_73	0x29F6EF4A
ACTN_74	0x16564809
ACTN_75	0xBC96948B
ACTN_76	0x40AE9CA1
ACTN_77	0x6E687814
ACTN_78	0x604DDBDF
ACTN_79	0x05AE26B9
ACTN_8	0x919FFDC8
ACTN_80	0xF4C00611
ACTN_81	0x230AE2A6
ACTN_82	0xA94DEF2E
ACTN_83	0x97754B7D
ACTN_86	0x8BE13459
ACTN_87	0x79FD9092
ACTN_88	0xB037FD06
ACTN_9	0x7B5ED146
ACTN_91	0xE7DCED57
ACTN_92	0x6216E1B1
ACTN_93	0x33D00524
ACTQUIT	0xC20CD4C7
ACTRR	0x75BACB12
ACT_01	0x6C4DF261
ACT_02	0xFA880ED7
ACT_03	0x50C83B56
ACT_04	0x5D7E54C2
ACT_05	0xDFB25928
ACT_06	0xEC687294
ACT_06B	0x3BD4DF48
ACT_06C	0x4A137BC5
ACT_06D	0x175A1653
ACT_06E	0x259FB2DE
ACT_07	0xC3091FD6
ACT_08	0xD0C3BB4B
ACT_09	0x95B1453F
ADAMCOCH	0xB4587200
ADAMCROS	0x808BAEA7
ADAMDICKIN	0x9BB3F334
ADAMF	0x1006FC04
ADAMLOCK	0x671A895F
ADAMLUPIN	0x7F26E398
ADAMSIETZ	0x7C461D88
ADAMTED	0x0035A012
ADAMTEDM	0xEE462257
ADAMTETZ	0xD97E66C4
ADAMWE	0xA25131A0
ADAMWOLKOFF	0x832CF2CD
ADDART	0x5AEA175B
ADDICT_0	0xD16FF23D
ADDICT_1	0xC7F1DF41
ADDICT_10	0x1AB2FCC3
ADDICT_11	0xA5A912B1
ADDICT_12	0xB6D6B50C
ADDICT_13	0xA7D41703
ADDICT_14	0xC21B4B91
ADDICT_15	0xD07BE852
ADDICT_16	0x5DE50326
ADDICT_17	0x6F4EA5F9
ADDICT_18	0x8881D85F
ADDICT_19	0x9BA47EA4
ADDICT_2	0x8E3CEBD8
ADDICT_20	0x7C39D4BF
ADDICT_21	0xC1F2E030
ADDICT_22	0x99A58F96
ADDICT_23	0xE1899F5D
ADDICT_24	0xEF9A3B7E
ADDICT_25	0xFD5856FA
ADDICT_26	0x0ADDF205
ADDICT_27	0xFD2956C8
ADDICT_28	0x0B8EF393
ADDICT_29	0x17C80C05
ADDICT_3	0x7275B44A
ADDICT_30	0x68212B6E
ADDICT_31	0xA2641FF3
ADDICT_4	0xA880A053
ADDICT_5	0x9F4E8DEF
ADDICT_6	0x47815E62
ADDICT_7	0x35B3BAC7
ADDICT_8	0x63F51749
ADDICT_9	0x522E73BC
ADD_FILTER	0xFBDA919D
ADD_FILTER_CAP	0xC0A31342
ADMINSUPP	0x747E03DD
ADMIRAL	0x4B5C5320
ADRDETRAY	0xC8B4FB38
ADRIANA	0xB57CD29C
ADRIANMART	0x0C5EE08A
AEROP	0x9E0897DD
AHMED	0x887CF616
AH_P_LOSE	0xE3B5361E
AH_P_SCORE	0xC7009E60
AH_P_WIN	0xCF95E492
AH_QUIT	0xF9716CE5
AH_QUIT_HELP	0x38073BEE
AH_QUIT_HELP_PC	0xFF249139
AH_REMATCH	0xB07DA5FE
AH_REMATCH_PC	0x1C1E311B
AH_RULES_1	0x2E001EF6
AH_RULES_1_PC	0x43ED572F
AH_RULES_2	0x3D31BD59
AH_SCORE	0x29FA63E4
AH_START_01	0xBDDD8D08
AH_START_02	0x6F8CF06C
AH_START_02_PC	0x4C84C664
AH_START_03	0x623F55D1
AH_START_03_PC	0x65785A90
AH_START_04	0x8A7AA643
AH_START_04_PC	0xF0DF8517
AH_START_05	0x852F9BAD
AH_START_05_PC	0x2154202B
AH_START_07	0xE3B758C7
AH_START_08	0x0F152F86
AH_START_09	0xF8E7032A
AH_START_PLAY	0x2092908B
AH_S_ARM	0xC78FF19B
AH_S_CLAY	0x239A8B67
AH_S_HEN	0x1285976A
AH_S_JIM	0x16545390
AH_S_TERRY	0x0FB1BD37
AH_S_YOU	0x524CA500
AIDMALLEY	0xD8FE496B
AIRTUG	0x5D0AAC8F
AJALL	0x3F90777F
