10LS	0x1CE95AF0
10LS2	0x75764AC6
10LS3	0x02717A50
10LS4	0x9C15EFF3
10LS5	0xEB12DF65
10OG	0x2D1EDD4E
10WEED	0xFC0E742B
10_R_20	0x1FF31BA9
11DICE	0xAB85CB9E
11DICE2	0xDFCB6A08
11GGIFT	0xFADF7593
11GROV2	0x778678B0
11GROV3	0x00814826
11GROVE	0xB9E79C2F
11JAIL	0xC67ABD3B
12ANGEL	0xBCDC5B88
12BNDIT	0x46E3485B
12CROSS	0x43500955
12DAGER	0xD650F9CD
12MAYBR	0x82B98301
12MYFAC	0x41F36B0D
2_OR_12	0x727A19D6
3_OR_13	0xA30A22F4
4NATION	0xB3DFAAC2
4RIP	0x841A1073
4SPIDER	0x1552AD61
4WEED	0xB148505D
4_OR_14	0xF8C989D9
5CROSS	0x7CEFE9D6
5CROSS2	0xA71BC988
5CROSS3	0xD01CF91E
5GUN	0x3A3376B3
5_OR_15	0x29B9B2FB
6AFRICA	0x7E57D86F
6AZTEC	0x545309D5
6CLOWN	0x4DD71209
6CROWN	0xFD1132A5
6_OR_16	0x8158F9DC
711S2	0x1EA32300
711S3	0x69A41396
711_D	0x0B70B805
7CROSS	0x312748DD
7CROSS2	0x3084D8A1
7CROSS3	0x4783E837
7MARY	0xA8C0DDE5
7_11B	0xC294DB29
7_11C	0xB593EBBF
7_11S	0xA824FBDB
7_OR_17	0x5028C2FE
8GUN	0xC859AE6E
8POKER	0x29D4B585
8SA	0xBA8BED54
8SA2	0xA46B4F80
8SA3	0xD36C7F16
8SANTOS	0x836B3AF2
8TRACK	0x41811697
8WESTSD	0x2AAD89FC
8_OR_18	0x36DFAF86
9BULLT	0xFAE21DC0
9CROWN	0x0C478070
9GUN	0x70E5C90B
9GUN2	0x5F756DC1
9HOMBY	0x6E06899E
9RASTA	0xBDC5D275
9_OR_19	0xE7AF94A4
ABATOIR	0x3C9B124E
ACCURA	0xFFEAF054
ADMIRAL	0xAB691458
AEROPL	0xC5390D97
AFRO	0xE7EA8D1E
AFROB	0x623AF752
AFROBL	0xFA6D0794
AFROFL	0x9E01C290
AFROGOT	0xB6783E9F
AFROHI	0x70E81B91
AFROT	0x96EE4203
AIR1_01	0x4B8459C3
AIR1_02	0xD28D0879
AIR1_03	0xA58A38EF
AIR1_04	0x3BEEAD4C
AIR1_06	0xD5E0CC60
AIR1_07	0xA2E7FCF6
AIR1_08	0x3258E167
AIR1_09	0x455FD1F1
AIR1_10	0x25985814
AIR1_11	0x529F6882
AIR1_12	0xCB963938
AIR1_13	0xBC9109AE
